url_path,views_total,views_unique
/sysbio-curie/NaviCell,12,4
/sysbio-curie/NaviCell/tree/master/map_construction_procedures,3,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/NaviCellMapperAdminGuide.pdf,2,1
/sysbio-curie/NaviCell/commit/93a513d00744ffc965710bf13de348947385a4cc,2,1
/sysbio-curie/NaviCell/commits/master,2,1
/sysbio-curie/NaviCell/actions,1,1
/sysbio-curie/NaviCell/blob/feat/v3/docker/Dockerfile,1,1
/sysbio-curie/NaviCell/blob/master/docker-compose.yml,1,1
/sysbio-curie/NaviCell/blob/master/docker/Dockerfile,1,1
/sysbio-curie/NaviCell/blob/master/site/docroot/navicell/factory.php,1,1
