time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-02 00:00:00+00:00,0,0,1,1
2022-12-06 00:00:00+00:00,2,1,0,0
2022-12-07 00:00:00+00:00,7,4,0,0
2022-12-08 00:00:00+00:00,0,0,1,1
2022-12-09 00:00:00+00:00,1,1,0,0
2022-12-12 00:00:00+00:00,2,1,0,0
2022-12-13 00:00:00+00:00,0,0,1,1
2022-12-14 00:00:00+00:00,16,4,0,0
2022-12-15 00:00:00+00:00,1,1,0,0
2022-12-16 00:00:00+00:00,1,1,1,1
2022-12-17 00:00:00+00:00,1,1,3,1
2022-12-18 00:00:00+00:00,2,2,0,0
2022-12-19 00:00:00+00:00,2,2,5,2
2022-12-20 00:00:00+00:00,2,2,0,0
2022-12-21 00:00:00+00:00,1,1,0,0
2022-12-22 00:00:00+00:00,1,1,1,1
2022-12-23 00:00:00+00:00,2,2,0,0
2022-12-24 00:00:00+00:00,3,3,0,0
2022-12-25 00:00:00+00:00,2,2,0,0
